state,year,value
Alaska,1935,0
Alaska,1936,0
Alaska,1937,0
Alaska,1938,0
Alaska,1939,0
Alaska,1940,0
Alaska,1941,0
Alaska,1942,0
Alaska,1943,0
Alaska,1944,0
Alaska,1945,0
Alaska,1946,0
Alaska,1947,0
Alaska,1948,0
Alaska,1949,0
Alaska,1950,47000
Alaska,1951,65000
Alaska,1952,96000
Alaska,1953,104000
Alaska,1954,113000
Alaska,1955,129000
Alaska,1956,0
Alaska,1957,0
Alaska,1958,0
Alaska,1959,160000
Alaska,1960,191000
Alaska,1961,192000
Alaska,1962,245000
Alaska,1963,245000
Alaska,1964,308000
Alaska,1965,333000
Alaska,1966,346187
Alaska,1967,381908
Alaska,1968,387222
Alaska,1969,484299
Alaska,1970,577028
Alaska,1971,647375
Alaska,1972,741538
Alaska,1973,794820
Alaska,1974,1003920
Alaska,1975,1250032
Alaska,1976,1374073
Alaska,1977,1518727
Alaska,1978,1569933
Alaska,1979,1564010
Alaska,1980,1756668
Alaska,1981,1924186
Alaska,1982,2670316
Alaska,1983,3166300
Alaska,1984,3581929
Alaska,1985,3896152
Alaska,1986,4065322
Alaska,1987,3965495
Alaska,1988,3747807
Alaska,1989,3431404
Alaska,1990,3494089
Alaska,1991,3533936
Alaska,1992,3603546
Alaska,1993,3781082
Alaska,1994,4043987
Alaska,1995,4058218
Alaska,1996,4201887
Alaska,1997,3521477
Alaska,1998,3801242
Alaska,1999,3952531
Alaska,2000,4140394
Alaska,2001,4278002
Alaska,2002,4796223
Alaska,2003,2598561
Alaska,2004,2628187
Alaska,2005,2759452
Alaska,2006,2748648
Alaska,2007,2790747
Alaska,2008,9619883
Alaska,2009,3130643
Alaska,2010,3340749
Alaska,2011,3472798
Alaska,2012,3676950
Alaska,2013,3777376
Alaska,2014,4067881
Alaska,2015,4375522
Alaska,2016,4467084
Alaska,2017,4443646
Alaska,2018,4435395
Alaska,2019,4579489
Alaska,2020,5912665
Alaska,2021,7802403
Alaska,2022,7828447
Alabama,1935,244000
Alabama,1936,285000
Alabama,1937,271000
Alabama,1938,298000
Alabama,1939,330000
Alabama,1940,375000
Alabama,1941,487000
Alabama,1942,691000
Alabama,1943,836000
Alabama,1944,1026000
Alabama,1945,1306000
Alabama,1946,1223000
Alabama,1947,1260000
Alabama,1948,1255000
Alabama,1949,1202000
Alabama,1950,1271000
Alabama,1951,1378000
Alabama,1952,1451000
Alabama,1953,1491000
Alabama,1954,1556000
Alabama,1955,1682000
Alabama,1956,1723000
Alabama,1957,1776000
Alabama,1958,1951000
Alabama,1959,2017000
Alabama,1960,2121000
Alabama,1961,2192000
Alabama,1962,2386000
Alabama,1963,2557000
Alabama,1964,2843000
Alabama,1965,3236000
Alabama,1966,3544014
Alabama,1967,3871399
Alabama,1968,4286723
Alabama,1969,4428120
Alabama,1970,5024425
Alabama,1971,5777332
Alabama,1972,6791991
Alabama,1973,7711713
Alabama,1974,8367010
Alabama,1975,9164081
Alabama,1976,10169563
Alabama,1977,11701473
Alabama,1978,12657531
Alabama,1979,13450183
Alabama,1980,14089003
Alabama,1981,15637110
Alabama,1982,16632487
Alabama,1983,17835100
Alabama,1984,19802215
Alabama,1985,20817350
Alabama,1986,23443041
Alabama,1987,24585204
Alabama,1988,26958785
Alabama,1989,29284539
Alabama,1990,31881228
Alabama,1991,33560332
Alabama,1992,35362684
Alabama,1993,37373907
Alabama,1994,39566199
Alabama,1995,42137709
Alabama,1996,45477073
Alabama,1997,72695328
Alabama,1998,101764973
Alabama,1999,122523513
Alabama,2000,129917114
Alabama,2001,132086754
Alabama,2002,139425817
Alabama,2003,146348561
Alabama,2004,157032383
Alabama,2005,158391207
Alabama,2006,167598796
Alabama,2007,168978039
Alabama,2008,182986416
Alabama,2009,180773242
Alabama,2010,171629630
Alabama,2011,174724044
Alabama,2012,181098592
Alabama,2013,181152119
Alabama,2014,192573090
Alabama,2015,203519659
Alabama,2016,209649795
Alabama,2017,212296583
Alabama,2018,217365276
