year,type,value
2021,Bank teller,14.9
2019,Bank teller,21
2017,Bank teller,24.8
2015,Bank teller,28.7
2013,Bank teller,33.3
2021,ATM/Kiosk,16
2019,ATM/Kiosk,19.5
2017,ATM/Kiosk,19.5
2015,ATM/Kiosk,20.6
2013,ATM/Kiosk,24
2021,Telephone banking,2.9
2019,Telephone banking,2.4
2017,Telephone banking,2.9
2015,Telephone banking,2.9
2013,Telephone banking,3.2
2021,Online banking,22
2019,Online banking,22.8
2017,Online banking,37
2015,Online banking,37.7
2013,Online banking,33.2
2021,Mobile banking,43.5
2019,Mobile banking,34
2017,Mobile banking,15.1
2015,Mobile banking,9.2
2013,Mobile banking,5.5
2021,Other,0.7
2019,Other,0.3
2017,Other,0.7
2015,Other,0.9
2013,Other,0.8
