state,year,type,value
Alabama,2021,Bank teller,19.5
Alaska,2021,Bank teller,15.7
Arizona,2021,Bank teller,7.3
Arkansas,2021,Bank teller,16
California,2021,Bank teller,12.4
Colorado,2021,Bank teller,10.6
Connecticut,2021,Bank teller,11.6
Delaware,2021,Bank teller,7.7
District of Columbia,2021,Bank teller,5.9
Florida,2021,Bank teller,12.4
Georgia,2021,Bank teller,14.4
Hawaii,2021,Bank teller,26.5
Idaho,2021,Bank teller,15.9
Illinois,2021,Bank teller,14.5
Indiana,2021,Bank teller,16.1
Iowa,2021,Bank teller,20.3
Kansas,2021,Bank teller,16.4
Kentucky,2021,Bank teller,14.4
Louisiana,2021,Bank teller,18.9
Maine,2021,Bank teller,21.7
Maryland,2021,Bank teller,9
Massachusetts,2021,Bank teller,11.8
Michigan,2021,Bank teller,20.7
Minnesota,2021,Bank teller,13.9
Mississippi,2021,Bank teller,25.1
Missouri,2021,Bank teller,16.4
Montana,2021,Bank teller,18
Nebraska,2021,Bank teller,16.2
Nevada,2021,Bank teller,12.1
New Hampshire,2021,Bank teller,14.4
New Jersey,2021,Bank teller,19.5
New Mexico,2021,Bank teller,13.8
New York,2021,Bank teller,21.8
North Carolina,2021,Bank teller,15.2
North Dakota,2021,Bank teller,18.4
Ohio,2021,Bank teller,17.6
Oklahoma,2021,Bank teller,13.8
Oregon,2021,Bank teller,8.4
Pennsylvania,2021,Bank teller,15.1
Rhode Island,2021,Bank teller,16.3
South Carolina,2021,Bank teller,16.8
South Dakota,2021,Bank teller,20.5
Tennessee,2021,Bank teller,20.6
Texas,2021,Bank teller,12.6
Utah,2021,Bank teller,6.6
Vermont,2021,Bank teller,15.7
Virginia,2021,Bank teller,11.1
Washington,2021,Bank teller,12.6
West Virginia,2021,Bank teller,18.5
Wisconsin,2021,Bank teller,21
Wyoming,2021,Bank teller,18.7
Alabama,2021,ATM/Kiosk,17.4
Alaska,2021,ATM/Kiosk,6.1
Arizona,2021,ATM/Kiosk,16.4
Arkansas,2021,ATM/Kiosk,17.3
California,2021,ATM/Kiosk,22.5
Colorado,2021,ATM/Kiosk,6.9
Connecticut,2021,ATM/Kiosk,18.5
Delaware,2021,ATM/Kiosk,28.5
District of Columbia,2021,ATM/Kiosk,14.3
Florida,2021,ATM/Kiosk,15.8
Georgia,2021,ATM/Kiosk,16.5
Hawaii,2021,ATM/Kiosk,12.1
Idaho,2021,ATM/Kiosk,7.8
Illinois,2021,ATM/Kiosk,14.2
Indiana,2021,ATM/Kiosk,15.7
Iowa,2021,ATM/Kiosk,11.6
Kansas,2021,ATM/Kiosk,11.4
Kentucky,2021,ATM/Kiosk,22
Louisiana,2021,ATM/Kiosk,17.1
Maine,2021,ATM/Kiosk,12.8
Maryland,2021,ATM/Kiosk,11.1
Massachusetts,2021,ATM/Kiosk,15.3
Michigan,2021,ATM/Kiosk,12.2
Minnesota,2021,ATM/Kiosk,5.6
Mississippi,2021,ATM/Kiosk,21.9
